source,target,weight
0,56,1
0,57,1
0,58,1
0,59,1
0,60,1
0,62,1
0,64,1
0,65,1
0,66,1
0,67,1
0,68,1
0,69,1
0,70,1
0,71,1
0,72,1
0,73,1
0,74,1
0,75,1
0,76,1
0,77,1
0,78,1
0,79,1
0,81,1
0,82,1
0,83,1
0,84,1
0,85,1
0,86,1
0,88,1
0,89,1
0,90,1
0,91,1
0,92,1
0,95,1
0,96,1
0,97,1
0,98,1
0,99,1
0,100,1
0,101,1
0,102,1
0,103,1
0,104,1
0,105,1
0,106,1
0,107,1
0,108,1
0,109,47
1,58,1
1,77,1
1,84,1
1,98,1
1,100,1
1,101,1
1,107,1
1,108,1
1,109,8
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,61,1
2,67,1
2,68,1
2,70,1
2,73,1
2,74,1
2,80,1
2,86,1
2,90,1
2,91,1
2,96,1
2,99,1
2,101,1
2,103,1
2,107,1
2,109,20
3,56,1
3,58,1
3,67,1
3,73,1
3,74,1
3,80,1
3,96,1
3,101,1
3,107,1
3,109,9
4,56,1
4,58,1
4,59,1
4,60,1
4,62,1
4,63,1
4,66,1
4,67,1
4,73,1
4,75,1
4,78,1
4,80,1
4,89,1
4,92,1
4,93,1
4,94,1
4,96,1
4,101,1
4,107,1
4,109,19
5,58,1
5,59,1
5,60,1
5,66,1
5,68,1
5,72,1
5,75,1
5,76,1
5,78,1
5,80,1
5,81,1
5,88,1
5,92,1
5,93,1
5,97,1
5,99,1
5,101,1
5,107,1
5,109,18
6,63,1
6,75,1
6,109,2
7,59,1
7,62,1
7,67,1
7,78,1
7,81,1
7,88,1
7,92,1
7,94,1
7,101,1
7,107,1
7,109,10
8,58,1
8,59,1
8,60,1
8,66,1
8,68,1
8,71,1
8,72,1
8,74,1
8,81,1
8,94,1
8,109,10
9,57,1
9,59,1
9,60,1
9,62,1
9,63,1
9,66,1
9,68,1
9,70,1
9,72,1
9,73,1
9,75,1
9,76,1
9,78,1
9,79,1
9,81,1
9,88,1
9,90,1
9,91,1
9,92,1
9,93,1
9,95,1
9,97,1
9,99,1
9,104,1
9,109,24
10,58,1
10,59,1
10,60,1
10,62,1
10,66,1
10,67,1
10,76,1
10,78,1
10,79,1
10,80,1
10,90,1
10,91,1
10,92,1
10,94,1
10,95,1
10,99,1
10,101,1
10,107,1
11,58,1
11,59,1
11,67,1
11,75,1
11,90,1
11,99,1
12,58,1
12,60,1
12,62,1
12,66,1
12,68,1
12,76,1
12,78,1
12,90,1
12,91,1
12,92,1
12,93,1
12,97,1
12,99,1
13,56,1
13,58,1
13,59,1
13,60,1
13,62,1
13,63,1
13,66,1
13,67,1
13,68,1
13,70,1
13,76,1
13,78,1
13,81,1
13,88,1
13,90,1
13,91,1
13,92,1
13,93,1
13,94,1
13,97,1
13,99,1
13,101,1
13,104,1
13,107,1
14,59,1
14,60,1
14,62,1
14,63,1
14,66,1
14,68,1
14,74,1
14,75,1
14,76,1
14,78,1
14,79,1
14,80,1
14,81,1
14,88,1
14,90,1
14,91,1
14,92,1
14,93,1
14,94,1
14,95,1
14,97,1
14,99,1
14,104,1
15,66,1
15,72,1
16,58,1
16,60,1
16,62,1
16,70,1
16,74,1
16,80,1
16,93,1
16,101,1
16,107,1
17,58,1
18,59,1
19,56,1
19,57,1
19,58,1
19,59,1
19,60,1
19,62,1
19,66,1
19,67,1
19,68,1
19,70,1
19,71,1
19,72,1
19,73,1
19,74,1
19,75,1
19,76,1
19,78,1
19,80,1
19,81,1
19,89,1
19,90,1
19,91,1
19,92,1
19,93,1
19,94,1
19,101,1
19,107,1
20,57,1
20,58,1
20,59,1
20,60,1
20,62,1
20,66,1
20,68,1
20,71,1
20,72,1
20,73,1
20,75,1
20,78,1
20,81,1
20,90,1
20,91,1
20,92,1
20,93,1
20,94,1
20,99,1
20,101,1
20,104,1
20,107,1
21,59,1
21,80,1
22,56,1
22,57,1
22,58,1
22,59,1
22,60,1
22,62,1
22,68,1
22,70,1
22,75,1
22,76,1
22,78,1
22,80,1
22,81,1
22,90,1
22,91,1
22,92,1
22,99,1
22,104,1
23,59,1
23,71,1
23,72,1
23,76,1
23,90,1
24,56,1
24,57,1
24,58,1
24,59,1
24,60,1
24,61,1
24,62,1
24,66,1
24,67,1
24,68,1
24,71,1
24,72,1
24,73,1
24,75,1
24,76,1
24,78,1
24,80,1
24,81,1
24,88,1
24,91,1
24,92,1
24,94,1
24,96,1
24,101,1
24,107,1
25,63,1
26,56,1
26,60,1
26,62,1
26,66,1
26,67,1
26,68,1
26,70,1
26,72,1
26,78,1
26,81,1
26,92,1
