# index, _pos
0,"array([4.88549348, 3.72953171])"
1,"array([4.91928726, 3.59748764])"
2,"array([4.92295835, 3.72494052])"
3,"array([5.04119903, 3.69622106])"
4,"array([4.88151858, 3.76371756])"
5,"array([4.83500702, 3.89134326])"
6,"array([4.58177145, 3.82701205])"
7,"array([4.87725877, 3.95517596])"
8,"array([4.97730983, 3.89758631])"
9,"array([4.78161497, 3.87488955])"
10,"array([4.85220336, 3.92097414])"
11,"array([4.91867274, 4.01415712])"
12,"array([4.7293219 , 3.79264941])"
13,"array([4.80276451, 3.83476135])"
14,"array([4.80249216, 3.91015515])"
15,"array([5.1179975 , 4.00402483])"
16,"array([4.95325052, 3.64808132])"
17,"array([5.21807326, 3.73943117])"
18,"array([4.97257786, 4.16592863])"
19,"array([4.89183771, 3.79958988])"
20,"array([4.8318444 , 3.80800205])"
21,"array([5.0052051 , 4.07867444])"
22,"array([4.76007761, 3.81228366])"
23,"array([5.06464914, 3.77637236])"
24,"array([4.91199396, 3.77899028])"
25,"array([4.43287559, 3.93720097])"
26,"array([4.93143164, 3.90817492])"
27,"array([4.93134409, 3.82547388])"
28,"array([4.99807028, 3.83313922])"
29,"array([4.86571935, 3.88286172])"
30,"array([4.65406649, 3.5366882 ])"
31,"array([4.94579205, 3.87650073])"
32,"array([4.77184278, 3.84606195])"
33,"array([4.89672814, 3.69016073])"
34,"array([5.00762017, 3.92611892])"
35,"array([4.66630317, 3.61854114])"
36,"array([4.61071953, 3.72356841])"
37,"array([4.74751043, 3.872194  ])"
38,"array([4.8784788 , 3.85344447])"
39,"array([4.90715961, 3.89145165])"
40,"array([4.92044476, 3.95357528])"
41,"array([4.68978681, 3.8184834 ])"
42,"array([4.5597823 , 4.05433145])"
43,"array([5.0406664 , 4.01485494])"
44,"array([4.6347355 , 3.78449402])"
45,"array([5.05551842, 3.88621691])"
46,"array([5.11470763, 3.94064925])"
47,"array([4.77354888, 3.69012806])"
48,"array([4.98570709, 3.74101996])"
49,"array([4.66921103, 3.69426973])"
50,"array([5.02203895, 3.73988117])"
51,"array([4.87849944, 4.17254045])"
52,"array([5.18503693, 3.89101784])"
53,"array([4.62933371, 4.12918766])"
54,"array([4.71737362, 3.9572228 ])"
55,"array([4.75739196, 4.18824656])"
56,"array([4.8602616 , 3.70735101])"
57,"array([4.71660951, 3.74054654])"
58,"array([4.94027993, 3.7942162 ])"
59,"array([4.88673995, 3.9114714 ])"
60,"array([4.84238581, 3.75413829])"
61,"array([5.11392052, 3.77042622])"
62,"array([4.81797244, 3.77075015])"
63,"array([4.63926619, 3.88890093])"
64,"array([4.82737497, 4.05346886])"
65,"array([4.94681614, 3.45041332])"
66,"array([4.90491961, 3.82779962])"
67,"array([4.96901908, 3.8117808 ])"
68,"array([4.85872097, 3.82100852])"
69,"array([5.11377937, 3.54111674])"
70,"array([4.82169106, 3.69501253])"
71,"array([4.93375602, 3.6850467 ])"
72,"array([5.00463347, 3.8741947 ])"
73,"array([4.96094606, 3.71448441])"
74,"array([5.04131793, 3.82288639])"
75,"array([4.81510956, 3.86644902])"
76,"array([4.7974468 , 3.79878713])"
77,"array([4.81834471, 3.59576145])"
78,"array([4.85595362, 3.7906894 ])"
79,"array([4.73950719, 3.99648679])"
80,"array([4.95530292, 3.85014276])"
81,"array([4.8325359 , 3.95482073])"
82,"array([4.80701999, 3.48472796])"
83,"array([5.11081147, 3.65008617])"
84,"array([4.84907402, 3.64257044])"
85,"array([4.76687235, 3.53584912])"
86,"array([5.04354001, 3.57192544])"
87,"array([5.85657212, 3.98232288])"
88,"array([4.71703123, 3.90913833])"
89,"array([5.10614185, 3.81951447])"
90,"array([4.91234422, 3.8597299 ])"
91,"array([4.78137812, 3.76745878])"
92,"array([4.83830067, 3.84384334])"
93,"array([4.76485172, 3.73655085])"
94,"array([4.9584094 , 3.94062427])"
95,"array([4.79183925, 4.01044249])"
96,"array([5.01537356, 3.79293404])"
97,"array([4.79121437, 3.95858132])"
98,"array([4.88858149, 3.64354492])"
99,"array([4.7643338, 3.9300088])"
100,"array([4.7929611 , 3.63271591])"
101,"array([4.93973158, 3.7554821 ])"
102,"array([4.88150523, 3.54129523])"
103,"array([4.96460076, 3.55503991])"
104,"array([4.69861878, 3.85570944])"
105,"array([4.86430867, 3.43963899])"
106,"array([5.02636895, 3.47648761])"
107,"array([4.97498277, 3.77655435])"
108,"array([4.99271252, 3.67275548])"
109,"array([4.80731436, 3.7298992 ])"
