# index, _pos
0,"array([30.70433046,  7.48037086])"
1,"array([ 38.36517434, -20.45193771])"
2,"array([29.69548624,  6.71287873])"
3,"array([27.39373007,  7.52288557])"
4,"array([25.80180839,  5.58574256])"
5,"array([27.19871543, 13.17967115])"
6,"array([27.28578248, 10.67258736])"
7,"array([28.20367602,  5.68328191])"
8,"array([28.21254614,  3.02128407])"
9,"array([28.41022641,  6.74802671])"
10,"array([32.39232842,  9.63320764])"
11,"array([-10.83558998,  -2.77072199])"
12,"array([-13.01825191,  -4.93340945])"
13,"array([28.94840072,  7.58521674])"
14,"array([30.59106728,  9.84200012])"
15,"array([25.88395385, 12.62329405])"
16,"array([ -9.05896349, -18.64183472])"
17,"array([ 42.51452502, -20.74899006])"
18,"array([31.81509696, 12.02443778])"
19,"array([29.15662381,  5.74989446])"
20,"array([-9.86275508, -4.48217929])"
21,"array([-11.29203386,  -5.90419377])"
22,"array([33.48331403,  8.54278773])"
23,"array([30.2145928 ,  5.58813596])"
24,"array([35.13115472,  4.99497783])"
25,"array([32.68210195,  5.31120462])"
26,"array([33.14053575,  6.86865764])"
27,"array([23.10191784,  0.19497924])"
28,"array([ 35.76753217, -27.54837191])"
29,"array([ -1.62731447, -16.51606749])"
30,"array([28.51550543, 12.78516344])"
31,"array([ 40.73721357, -16.92305567])"
32,"array([49.20309568, -4.41665236])"
33,"array([ 3.22853488, 26.3710705 ])"
34,"array([25.30928591,  1.24692361])"
35,"array([23.98582207,  3.94176791])"
36,"array([42.56858538,  6.26885652])"
37,"array([-13.94627786, -22.28391854])"
38,"array([14.26784139, 20.47022489])"
39,"array([43.61049878, 13.82150557])"
40,"array([23.98744598,  9.34944951])"
41,"array([ 9.66587278, 20.03186085])"
42,"array([35.84750805, 17.25133636])"
43,"array([ 15.14151649, -35.27944747])"
44,"array([-7.48305486,  0.84634256])"
45,"array([-0.36457209, 15.87483076])"
46,"array([16.96642048, 27.83740871])"
47,"array([31.85885267, 19.3858756 ])"
48,"array([-17.32637877, -13.65069377])"
49,"array([ 7.3005627 , 27.47465771])"
50,"array([ -4.36581422, -32.45734658])"
51,"array([27.62661701,  4.77337574])"
52,"array([25.03129878,  3.36774974])"
53,"array([26.64167046,  3.39497066])"
54,"array([25.84568737,  4.31000548])"
55,"array([24.85217716,  6.91652129])"
56,"array([15.67342246, 27.51782017])"
