# index, label, _pos
0,"ABRAMSON, G","array([14.26791389, -7.00278991])"
1,"KUPERMAN, M","array([13.76581224, -4.60972848])"
2,"ACEBRON, J","array([-24.27179165, -25.70960444])"
3,"BONILLA, L","array([-21.60155334, -26.8945722 ])"
4,"PEREZVICENTE, C","array([-24.44575546, -27.5022745 ])"
5,"RITORT, F","array([-22.79702435, -28.23934029])"
6,"SPIGLER, R","array([-22.49884012, -25.33277665])"
7,"ADAMIC, L","array([-23.86883622, -14.3134034 ])"
8,"ADAR, E","array([-24.40620576, -17.08198431])"
9,"HUBERMAN, B","array([-24.52566281, -11.68810593])"
10,"LUKOSE, R","array([-21.91244986, -13.74759316])"
11,"PUNIYANI, A","array([-22.24388248, -11.91316304])"
12,"AERTSEN, A","array([104.47629912,  12.48452632])"
13,"GERSTEIN, G","array([106.68096141,  11.15722274])"
14,"HABIB, M","array([104.06451098,   9.94982844])"
15,"PALM, G","array([105.92618138,   9.31273809])"
16,"AFRAIMOVICH, V","array([-29.31748665,  57.66646426])"
17,"VERICHEV, N","array([-31.73375836,  57.64035861])"
18,"RABINOVICH, M","array([-30.55987918,  59.69377466])"
19,"AGRAWAL, H","array([ 97.68883302, -36.14340243])"
20,"AHUJA, R","array([-55.0494342 , -47.95607283])"
21,"MAGNANTI, T","array([-57.19457032, -46.84552925])"
22,"ORLIN, J","array([-57.10811129, -49.24856218])"
23,"AIELLO, W","array([61.21717142, 93.46943659])"
24,"CHUNG, F","array([64.03902287, 94.93647222])"
25,"LU, L","array([63.44772989, 93.36622252])"
26,"ALBA, R","array([-45.21877118, 103.82698361])"
27,"ALBERICH, R","array([ 58.54490435, 102.79788019])"
28,"MIROJULIA, J","array([ 56.96232299, 100.91809184])"
29,"ROSSELLO, F","array([ 56.18214939, 103.1475412 ])"
30,"ALBERT, R","array([47.73580161, 42.09722258])"
31,"ALBERT, I","array([50.4139117 , 44.52139108])"
32,"NAKARADO, G","array([51.60285938, 43.07631342])"
33,"BARABASI, A","array([46.59673267, 33.61039007])"
34,"JEONG, H","array([41.76225595, 39.11084793])"
35,"ALBERTS, B","array([-26.79143426, 111.89256691])"
36,"BRAY, D","array([-25.14495713, 111.36157715])"
37,"LEWIS, J","array([-23.52199413, 111.87780303])"
38,"RAFF, M","array([-24.1666241 , 109.94048266])"
39,"ROBERTS, K","array([-26.18966271, 109.96969038])"
40,"WATSON, J","array([-25.15014091, 113.07747906])"
41,"ALDANA, M","array([-66.64256205,  76.98428821])"
42,"ALDOUS, D","array([-27.92516868,  92.74242343])"
43,"PITTEL, B","array([-27.23262878,  90.54229975])"
44,"ALEKSIEJUK, A","array([39.49933229, 67.78127433])"
45,"HOLYST, J","array([38.7263177 , 70.53346407])"
46,"STAUFFER, D","array([38.80079789, 63.47346882])"
47,"ALLARIA, E","array([3.47556258, 6.25228411])"
48,"ARECCHI, F","array([ 2.25185213, 10.6821838 ])"
49,"DIGARBO, A","array([3.89307874, 8.14471766])"
50,"MEUCCI, R","array([1.83386553, 7.27346179])"
51,"ALMAAS, E","array([50.60547352, 35.33945409])"
52,"KOVACS, B","array([48.18063255, 32.87271113])"
53,"VICSEK, T","array([43.52178988, 31.62785621])"
54,"OLTVAI, Z","array([45.75892813, 35.66647539])"
55,"KRAPIVSKY, P","array([53.5787406 , 39.69544878])"
56,"REDNER, S","array([53.047347  , 40.84172692])"
57,"KULKARNI, R","array([56.05171587, 33.37060624])"
58,"STROUD, D","array([54.50043572, 34.86742624])"
59,"ALON, N","array([ 30.84602618, -73.97430816])"
60,"YUSTER, R","array([ 33.10626781, -74.77854347])"
61,"ZWICK, U","array([ 31.26992752, -76.34909198])"
62,"ALON, U","array([72.95644166, 73.1951034 ])"
63,"SURETTE, M","array([75.16580448, 70.93336514])"
64,"BARKAI, N","array([78.3463877 , 72.35981503])"
65,"LEIBER, S","array([76.35350996, 73.23882243])"
66,"ALTER, O","array([-24.53974836,  -2.67374728])"
67,"BROWN, P","array([-25.65226001,  -0.65142986])"
68,"BOTSTEIN, D","array([-26.90061961,  -2.61879648])"
69,"AMARAL, L","array([18.46877815, 41.01272348])"
70,"SCALA, A","array([18.04522545, 39.15412464])"
71,"BARTHELEMY, M","array([16.36898279, 36.30713197])"
72,"STANLEY, H","array([16.67566762, 43.30223421])"
73,"AMENGUAL, A","array([  2.51218872, -21.85784463])"
74,"HERNANDEZGARCIA, E","array([  1.1261362 , -20.45100489])"
75,"MONTAGNE, R","array([  2.47894409, -19.03640362])"
76,"SANMIGUEL, M","array([  4.75923256, -20.40029928])"
77,"ANCELMEYERS, L","array([30.35235262, 56.10978756])"
78,"NEWMAN, M","array([28.15879656, 56.60980648])"
79,"MARTIN, M","array([29.80533307, 54.12508801])"
80,"SCHRAG, S","array([31.5829431 , 54.83086045])"
81,"ANDERSON, C","array([-25.88801635, -42.93392192])"
82,"WASSERMAN, S","array([-23.29979909, -42.16219234])"
83,"CROUCH, B","array([-24.29355831, -44.55282703])"
84,"ANDERSON, P","array([98.94701266, 25.54780591])"
85,"ARROW, K","array([96.99850465, 24.17431431])"
86,"PINES, D","array([99.14862046, 23.1743506 ])"
87,"ANDERSON, R","array([-25.42847021,  16.7402244 ])"
88,"MAY, R","array([-27.86214105,  15.5807073 ])"
89,"ANDERSSON, H","array([-49.9228118 ,  45.21801737])"
90,"ANTAL, T","array([57.32744584, 37.44048198])"
91,"APIC, G","array([-67.73124554,  35.81998185])"
92,"GOUGH, J","array([-67.1092561 ,  38.13253283])"
93,"TEICHMANN, S","array([-69.39599623,  37.48652264])"
94,"ARENAS, A","array([ 9.53656839, 37.37467958])"
95,"CABRALES, A","array([ 9.83136787, 39.1443116 ])"
96,"DIAZGUILERA, A","array([ 7.63534144, 37.85207095])"
97,"GUIMERA, R","array([11.87162896, 39.98822134])"
98,"VEGAREDONDO, F","array([11.12777693, 37.79749196])"
99,"DANON, L","array([ 8.0133345 , 39.52360758])"
100,"GLEISER, P","array([ 7.71440748, 41.00522087])"
101,"ARITA, M","array([-21.6269699 ,  77.56059919])"
102,"ASHWIN, P","array([ 70.75590762, -69.8640729 ])"
103,"BUESCU, J","array([ 73.02416562, -69.01797974])"
104,"STEWART, I","array([ 71.17834381, -67.46918683])"
105,"ATAY, F","array([  8.0709609 , -42.77895037])"
106,"JOST, J","array([  5.6048073 , -42.52415274])"
107,"WENDE, A","array([  6.78079338, -44.67757657])"
108,"AUMANN, R","array([-51.5913731 ,  68.14122838])"
109,"HART, S","array([-50.05892481,  69.98902318])"
110,"AXELROD, R","array([ 64.67106817, 117.31607129])"
111,"BADER, G","array([  5.02769205, -50.48919089])"
112,"HOGUE, C","array([  7.39906497, -50.13926489])"
113,"BAIESI, M","array([76.20176323, 38.76871842])"
114,"PACZUSKI, M","array([73.39830964, 38.22128365])"
115,"BAILEY, N","array([ 26.95402802, 117.32708594])"
116,"BAIRD, D","array([87.71686311, 25.74530375])"
117,"ULANOWICZ, R","array([89.2620248 , 28.15732472])"
118,"BAKER, W","array([-29.54622243,  42.34753163])"
119,"FAULKNER, R","array([-31.42638012,  44.11611112])"
120,"BAK, P","array([35.83994354, 56.91254788])"
121,"SNEPPEN, K","array([34.73121638, 53.1375261 ])"
122,"BALL, F","array([-14.63351289,  57.21395075])"
123,"MOLLISON, D","array([-16.78497203,  56.21864221])"
124,"SCALIATOMBA, G","array([-16.5096999 ,  58.53483134])"
125,"BALL, P","array([ 31.39041075, 105.1337153 ])"
126,"BANAVAR, J","array([-1.54232443, 31.86124137])"
127,"MARITAN, A","array([ 2.71532117, 30.79940064])"
128,"RINALDO, A","array([-1.71381787, 29.79073447])"
129,"BANKS, D","array([-12.38117785, -45.8664709 ])"
130,"CARLEY, K","array([-13.86358374, -47.71207177])"
131,"BIANCONI, G","array([39.62571274, 35.87721004])"
132,"RAVASZ, E","array([44.84415169, 34.61166544])"
133,"NEDA, Z","array([43.63281747, 33.8335077 ])"
134,"SCHUBERT, A","array([42.35334713, 33.60944697])"
135,"BARAHONA, M","array([9.4921977 , 6.80468572])"
136,"PECORA, L","array([ 7.29988534, 11.05074473])"
137,"BARBOUR, A","array([-60.98173422,  67.30513655])"
138,"REINERT, G","array([-58.71292471,  66.53000012])"
139,"BARJOSEPH, Z","array([  2.19768219, -74.29956737])"
140,"GERBER, G","array([ -1.23006323, -73.85943449])"
141,"LEE, T","array([  0.26689153, -75.99198937])"
142,"RINALDI, N","array([  0.71629771, -72.1999624 ])"
143,"YOO, J","array([  1.93099095, -72.99607917])"
144,"ROBERT, F","array([  1.66203179, -75.44557917])"
145,"GORDON, D","array([ -0.63684059, -72.66532634])"
146,"FRAENKEL, E","array([  0.57592119, -73.59021525])"
147,"JAAKKOLA, T","array([ -1.03405298, -75.1370985 ])"
148,"YOUNG, R","array([  0.34292384, -74.70317609])"
149,"BARRAT, A","array([13.34414811, 32.98405676])"
150,"PASTORSATORRAS, R","array([13.60508493, 35.06341453])"
151,"VESPIGNANI, A","array([11.90048682, 29.71422443])"
152,"WEIGT, M","array([10.99410241, 31.71170967])"
153,"BARRETO, E","array([ 48.67353481, -39.01315458])"
154,"SO, P","array([ 46.59618788, -41.08819485])"
155,"GLUCKMANN, B","array([ 46.58276587, -38.99204333])"
156,"SCHIFF, S","array([ 48.67615661, -41.08862402])"
157,"GONDRAN, B","array([17.47120521, 34.02048332])"
158,"GUICHARD, E","array([19.22463914, 33.52586786])"
159,"BARYAM, Y","array([ 54.65791373, -45.5638975 ])"
160,"BATAGELJ, V","array([-16.64036179, -57.67503208])"
161,"MRVAR, A","array([-17.81170791, -59.7654641 ])"
162,"BATTISTON, S","array([22.02112846, 25.73674033])"
163,"CATANZARO, M","array([20.37673693, 22.76856513])"
164,"BATTY, M","array([ 52.85442883, -32.25736852])"
165,"LONGLEY, P","array([ 55.16546193, -32.61412727])"
166,"BAUER, M","array([-11.15079291, -19.19885356])"
167,"BERNARD, D","array([ -9.52007991, -21.04538569])"
168,"BAVELAS, A","array([ 49.70336822, 117.07653071])"
169,"BCHKLOVSKII, D","array([ 24.80222967, 108.29587647])"
170,"SCHIKORSKI, T","array([ 22.5359745 , 107.62936219])"
171,"STEVENS, C","array([ 24.27585114, 105.80874738])"
172,"BEARMAN, P","array([ 63.26412226, -70.36199343])"
173,"MOODY, J","array([ 61.04997261, -71.07903731])"
174,"STOVEL, K","array([ 62.79378819, -72.69423494])"
175,"BEKESSY, A","array([-23.2373018 , -65.86537022])"
176,"BEKESSY, P","array([-25.63235166, -65.70718169])"
177,"KOMLOS, J","array([-24.22619916, -63.56898546])"
178,"BELL, H","array([ 62.83624109, -13.38298815])"
179,"BELYKH, I","array([106.06715802, -19.81408972])"
180,"BELYKH, V","array([107.8122503 , -18.13030849])"
181,"HASLER, M","array([108.36681036, -20.45075013])"
182,"BENDER, E","array([-68.00881271,  65.19981941])"
183,"CANFIELD, E","array([-67.06282111,  67.3951487 ])"
184,"BENNAIM, E","array([59.10007843, 39.498434  ])"
185,"FRAUENFELDER, H","array([62.64071958, 38.74521401])"
186,"TOROCZKAI, Z","array([65.28743639, 38.60369825])"
187,"BERG, J","array([-40.56970465,  96.20220682])"
188,"LASSIG, M","array([-39.66803656,  94.05857284])"
189,"WAGNER, A","array([-37.78068637,  96.01906771])"
190,"BERLOW, E","array([48.46351278, 30.05537822])"
191,"BERNARDES, A","array([42.6897014 , 65.96994999])"
192,"COSTA, U","array([40.92239125, 65.05179081])"
193,"ARAUJO, A","array([42.35124034, 63.6466615 ])"
194,"KERTESZ, J","array([45.2068315 , 68.56671458])"
195,"BERNARD, H","array([-56.33554612,  74.01449766])"
196,"KILLWORTH, P","array([-55.68884384,  75.69898674])"
197,"EVANS, M","array([-57.10315551,  76.83782961])"
198,"MCCARTY, C","array([-58.6129294 ,  75.85697295])"
199,"SHELLEY, G","array([-58.15448961,  74.11340997])"
200,"BHAN, A","array([68.13971084, 92.55051803])"
201,"GALAS, D","array([65.55152747, 92.40025451])"
202,"DEWEY, T","array([66.27082184, 94.3287599 ])"
203,"CAPOCCI, A","array([29.7701538 , 30.83904074])"
204,"BIGGS, N","array([-53.96041709,  83.64616589])"
