source,target
0,179
0,1
1,113
1,136
2,106
2,120
2,148
2,163
2,164
2,173
2,182
2,194
2,21
2,3
2,45
2,56
2,68
4,111
4,121
4,122
4,22
4,44
4,5
4,65
4,66
4,67
4,68
6,20
6,7
7,113
7,18
7,70
8,9
8,10
8,115
8,116
8,187
10,114
10,13
11,12
12,60
12,64
12,71
12,73
13,100
13,105
13,140
13,14
13,15
13,16
13,17
13,189
13,19
13,20
13,42
13,44
13,52
13,56
13,61
13,76
13,83
13,87
13,88
13,98
14,18
15,18
15,36
17,18
17,36
17,70
18,100
18,105
18,19
18,20
18,44
18,83
19,186
19,36
19,43
19,59
19,60
19,85
20,36
20,43
22,178
22,31
22,64
23,143
23,188
23,24
25,107
25,108
25,130
25,197
25,198
25,200
25,201
25,26
25,37
25,38
25,57
25,58
25,98
26,136
27,27
27,28
29,129
29,159
29,181
29,30
29,35
31,109
31,110
31,111
31,133
31,134
31,135
31,166
31,167
31,168
31,171
31,32
33,103
33,104
33,126
33,127
33,139
33,145
33,158
33,203
33,34
33,47
33,78
33,79
36,99
36,105
36,142
36,44
36,49
37,84
38,84
39,146
39,147
39,40
39,41
42,43
43,189
43,199
43,44
43,83
43,98
44,50
46,105
46,126
46,149
46,152
46,158
46,162
46,183
46,47
46,48
50,165
50,193
50,51
53,54
53,75
55,112
55,55
59,195
60,110
60,128
60,174
60,176
60,202
60,61
60,73
62,177
62,63
64,175
64,188
64,69
64,77
70,145
70,183
71,72
71,74
80,138
80,141
80,81
80,82
80,91
81,119
83,101
85,195
85,86
89,90
92,93
94,95
96,97
101,102
113,117
113,118
113,128
113,140
113,143
113,173
113,192
114,115
114,116
115,191
116,191
123,124
123,125
123,146
123,147
131,132
131,206
131,207
131,208
133,178
135,178
136,137
136,211
142,196
143,144
143,147
143,161
143,180
143,190
145,157
146,160
147,160
150,151
153,154
155,156
157,158
157,183
159,172
160,161
169,170
184,185
186,195
204,205
209,210
