# index, _pos
0,"array([ 1.25708049, -0.61241925])"
1,"array([ 0.86752308, -0.45132707])"
2,"array([0.74914215, 0.83033222])"
3,"array([0.88795758, 0.49492134])"
4,"array([0.06843414, 1.62495178])"
5,"array([0.49230529, 1.70389886])"
6,"array([-0.59077701, -0.29393056])"
7,"array([-0.32987601, -0.14735243])"
8,"array([-2.15416837,  0.95175771])"
9,"array([-2.26581035,  1.29664303])"
10,"array([-1.57487567,  0.67571314])"
11,"array([-0.4379482 ,  2.20664367])"
12,"array([-0.12602947,  2.00820089])"
13,"array([-0.72107366,  0.35968945])"
14,"array([-0.65306572,  0.54049883])"
15,"array([-0.95253995,  0.44096186])"
16,"array([-1.2206124 ,  0.19446035])"
17,"array([-0.93673116, -0.07470908])"
18,"array([-0.78281242,  0.24447326])"
19,"array([-0.83454066,  0.79206162])"
20,"array([-0.76783611,  0.068105  ])"
21,"array([1.17231165, 1.04842764])"
22,"array([0.33474507, 2.25562083])"
23,"array([1.5132521 , 1.07442256])"
24,"array([1.82584994, 1.24301878])"
25,"array([ 0.0178511 , -1.27623309])"
26,"array([ 0.53450358, -1.13889491])"
27,"array([-3.53163106,  1.90699626])"
28,"array([-3.78003286,  1.95389581])"
29,"array([2.30373703, 2.73760734])"
30,"array([2.02434408, 2.87682977])"
31,"array([0.13421033, 2.78616372])"
32,"array([0.33112083, 3.23359625])"
33,"array([-1.91545447, -1.52995687])"
34,"array([-1.61095746, -1.64557111])"
35,"array([2.29716211, 3.04508774])"
36,"array([-1.14892832,  0.36061432])"
37,"array([ 0.03390787, -1.80381713])"
38,"array([ 0.25359311, -1.75805159])"
39,"array([2.61936632, 0.08683717])"
40,"array([2.96614339, 0.03966634])"
41,"array([ 2.76929415, -0.21307736])"
42,"array([-0.40838809,  0.10714133])"
43,"array([-0.51269465,  0.25620975])"
44,"array([-0.63770136,  0.86266057])"
45,"array([0.95806413, 0.99357106])"
46,"array([-1.80523294, -0.70522763])"
47,"array([-2.07673153, -1.11230443])"
48,"array([-2.18622233, -0.52609523])"
49,"array([-1.50901401,  0.11260986])"
50,"array([-1.0676862 ,  1.48022297])"
51,"array([-1.09886246,  1.84186412])"
52,"array([-1.06469118,  0.04227243])"
53,"array([ 2.30130673, -1.59553415])"
54,"array([ 2.46513488, -1.38814724])"
55,"array([-3.62220402, -1.34390841])"
56,"array([0.03640486, 0.57400948])"
57,"array([-0.22035642, -1.69783792])"
58,"array([ 0.41679256, -1.51628707])"
59,"array([-0.98093304,  1.16532407])"
60,"array([-0.3542977 ,  1.43032733])"
61,"array([-0.46243621,  0.93354833])"
62,"array([0.1901917, 4.2772632])"
63,"array([-0.06887657,  4.30257626])"
64,"array([0.66860439, 2.05534961])"
65,"array([0.33141434, 1.5517668 ])"
66,"array([0.1200752 , 1.90695682])"
67,"array([-0.14528743,  1.70516878])"
68,"array([0.4399946 , 1.25126387])"
69,"array([0.84568391, 2.37242656])"
70,"array([-0.98135358, -0.55963483])"
71,"array([-0.54698627,  2.46577466])"
72,"array([-0.89106094,  2.61128389])"
73,"array([-0.37912039,  1.81418691])"
74,"array([-0.6999168 ,  2.81343359])"
75,"array([ 2.13828691, -1.79509574])"
76,"array([-0.95894715,  0.65392009])"
77,"array([1.00608322, 2.02405542])"
78,"array([-2.14531748, -1.66514245])"
79,"array([-2.20257589, -1.90581477])"
80,"array([-3.87025479,  0.73590598])"
81,"array([-3.78754099,  1.04775967])"
82,"array([-3.57647103,  0.72558596])"
83,"array([-0.64032089, -0.07476751])"
84,"array([ 0.21228953, -2.06938955])"
85,"array([-1.35719356,  1.03871792])"
86,"array([-1.68921897,  1.24040974])"
87,"array([-1.16140045,  0.59759312])"
88,"array([-0.41079285,  0.61772308])"
89,"array([ 1.37787621, -2.4716568 ])"
90,"array([ 1.1723428 , -2.60431944])"
91,"array([-4.12883132,  0.88519322])"
92,"array([-1.91899566,  3.11129997])"
93,"array([-2.11459186,  2.96719609])"
94,"array([-2.47461703,  3.57511151])"
95,"array([-2.41014999,  3.81344287])"
96,"array([-3.37996245,  2.52703211])"
97,"array([-3.60730886,  2.6257433 ])"
98,"array([-0.33048077, -0.38485769])"
99,"array([-1.51162322,  0.43025776])"
100,"array([-0.97302085,  0.21656919])"
101,"array([-0.66508112, -0.5776406 ])"
102,"array([-0.72333623, -0.92073725])"
103,"array([-2.37776403, -1.6726157 ])"
104,"array([-1.67475715, -1.90378187])"
105,"array([-1.24127525, -0.0943828 ])"
106,"array([0.97984447, 0.73708236])"
107,"array([-0.09915425, -1.03629662])"
108,"array([ 0.15887368, -1.53363604])"
109,"array([0.13856233, 3.05301816])"
110,"array([-0.1715075 ,  2.18693946])"
111,"array([0.09752347, 2.26121522])"
112,"array([-3.46091191, -1.5244053 ])"
113,"array([0.51567816, 0.13656866])"
114,"array([-2.08315598,  0.70257099])"
115,"array([-2.42053394,  0.87020633])"
116,"array([-2.39217624,  0.67569597])"
117,"array([ 0.42710681, -0.17251736])"
118,"array([ 0.69034672, -0.1583918 ])"
119,"array([-3.71649375,  1.30914837])"
120,"array([1.20769307, 0.80766811])"
121,"array([0.09993483, 1.36949499])"
122,"array([0.33827783, 1.88723317])"
123,"array([2.61727127, 0.59171593])"
124,"array([2.96909633, 0.61837238])"
125,"array([2.78675533, 0.87767025])"
126,"array([-1.90171594, -1.16188356])"
127,"array([-1.96244189, -2.01446433])"
128,"array([0.10755603, 0.81464252])"
129,"array([2.57791859, 2.82272076])"
130,"array([ 0.31001973, -1.29167454])"
131,"array([-0.66188467, -2.96579335])"
