# index, name, _pos
0,1,"array([2.16256222, 5.23104208])"
1,81,"array([2.13256167, 5.16477684])"
2,2,"array([2.34786032, 5.65754811])"
3,27,"array([2.59586983, 5.61761886])"
4,136,"array([2.21967082, 5.77851968])"
5,129,"array([2.1854271 , 5.61966168])"
6,45,"array([2.2677579 , 5.59101814])"
7,3,"array([1.69507436, 5.43221023])"
8,182,"array([1.63808628, 5.48180059])"
9,171,"array([1.59035062, 5.42371104])"
10,122,"array([1.6463317 , 5.37463155])"
11,4,"array([3.77452279, 5.04280129])"
12,179,"array([3.67263089, 5.10393437])"
13,123,"array([3.75360102, 5.12811909])"
14,148,"array([3.82147486, 5.104717  ])"
15,5,"array([2.90516556, 6.03538807])"
16,170,"array([2.83273312, 6.00216448])"
17,65,"array([2.79478986, 6.06140408])"
18,87,"array([3.078953  , 6.07099587])"
19,101,"array([2.76356224, 5.93345767])"
20,6,"array([1.87799797, 4.75885839])"
21,178,"array([1.78569545, 4.72704279])"
22,60,"array([1.85248677, 4.68920027])"
23,105,"array([1.82206786, 4.80321733])"
24,7,"array([3.49147628, 4.54541579])"
25,125,"array([3.43514401, 4.61507259])"
26,169,"array([3.47380128, 4.6691105 ])"
27,38,"array([3.54497845, 4.59681943])"
28,8,"array([3.61115286, 4.88769135])"
29,156,"array([3.48054195, 4.91574154])"
30,120,"array([3.56497945, 4.93787497])"
31,185,"array([3.54095393, 5.01920864])"
32,128,"array([3.70956146, 4.81456266])"
33,9,"array([3.67626962, 5.60989113])"
34,113,"array([3.82307899, 5.68382891])"
35,93,"array([3.64909783, 5.47970679])"
36,76,"array([3.60152541, 5.716934  ])"
37,149,"array([3.66247364, 5.69461662])"
38,58,"array([3.53986057, 5.6393488 ])"
39,10,"array([2.10103466, 4.81583521])"
40,41,"array([2.19500678, 4.81581985])"
41,32,"array([2.14771926, 4.76691346])"
42,12,"array([2.14741467, 4.86418205])"
43,11,"array([3.14504629, 5.98292569])"
44,154,"array([3.15305951, 5.89085393])"
45,74,"array([3.20563118, 6.04587287])"
46,13,"array([2.56342606, 5.68444297])"
47,29,"array([2.51295973, 5.58341479])"
48,51,"array([2.48763429, 5.65169492])"
49,102,"array([2.63105195, 5.80690847])"
50,14,"array([2.64036084, 5.87169396])"
51,85,"array([2.53839048, 5.86450497])"
52,18,"array([2.57629618, 5.92819175])"
53,159,"array([2.72746444, 5.82423627])"
54,15,"array([3.03028246, 5.27333773])"
55,160,"array([2.99952171, 5.19014201])"
56,89,"array([2.95545098, 5.26565945])"
57,173,"array([2.88305431, 5.31386584])"
58,145,"array([3.09096868, 5.19292608])"
59,95,"array([3.1942196 , 5.20031311])"
60,117,"array([2.90685633, 5.45967144])"
61,131,"array([3.03905622, 5.13676758])"
62,16,"array([2.45035216, 4.81244326])"
63,53,"array([2.57440306, 4.90593937])"
64,164,"array([2.50093814, 4.77283937])"
65,17,"array([3.23962652, 4.56073706])"
66,139,"array([3.26099661, 4.75980464])"
67,183,"array([3.22824269, 4.41388095])"
68,107,"array([3.18461004, 4.47185914])"
69,172,"array([3.27853541, 4.46331619])"
70,19,"array([3.2520522 , 5.54499253])"
71,121,"array([3.14170378, 5.50659714])"
72,92,"array([3.35843988, 5.53078791])"
73,20,"array([3.11460807, 4.79420116])"
74,67,"array([3.02392116, 4.77570592])"
75,99,"array([2.98107125, 4.88993554])"
76,135,"array([3.05404462, 4.84686067])"
77,21,"array([2.81513577, 5.77683493])"
78,180,"array([2.74857566, 5.73382352])"
79,174,"array([2.81557749, 5.66457993])"
80,22,"array([2.84711548, 6.87863627])"
81,153,"array([2.8546842 , 6.95723019])"
82,114,"array([2.7634479 , 6.92199236])"
83,147,"array([2.78319328, 6.98227781])"
84,104,"array([2.92170059, 6.75103069])"
85,23,"array([3.52134703, 5.53270464])"
86,25,"array([3.45329054, 5.51918444])"
87,138,"array([3.52222104, 5.46410627])"
88,96,"array([3.44248982, 5.42562603])"
89,24,"array([2.68855171, 5.12691413])"
90,68,"array([2.75415849, 5.11862205])"
91,143,"array([2.78399285, 5.22130109])"
92,130,"array([2.76395983, 5.01986525])"
93,26,"array([2.47527948, 6.41881621])"
94,88,"array([2.41888161, 6.46571707])"
95,42,"array([2.3598666 , 6.41046893])"
96,82,"array([2.58324307, 6.42380313])"
97,142,"array([2.40342977, 6.36159524])"
98,134,"array([2.79224621, 5.46628712])"
99,30,"array([2.75664496, 5.5395856 ])"
100,28,"array([3.51315603, 6.43855859])"
101,109,"array([3.58818313, 6.40098223])"
102,91,"array([3.49407026, 6.3572446 ])"
103,31,"array([2.87212485, 5.53912544])"
104,177,"array([2.9762448 , 5.62539596])"
105,33,"array([2.70084048, 4.77177229])"
106,115,"array([2.56962364, 4.83542053])"
107,46,"array([2.76573507, 4.81300065])"
108,106,"array([2.77856053, 4.90973844])"
109,37,"array([2.69959088, 4.85476227])"
110,48,"array([2.80134061, 4.65831582])"
111,34,"array([1.71818617, 5.7985701 ])"
112,110,"array([1.6631517 , 5.84957999])"
113,161,"array([1.71571092, 5.9060126 ])"
114,79,"array([1.77031528, 5.85409914])"
115,35,"array([2.09815109, 6.33058598])"
116,151,"array([2.20298704, 6.29987182])"
117,56,"array([2.00802159, 6.35490608])"
118,36,"array([3.27173019, 5.24500808])"
119,141,"array([3.25691938, 5.12512002])"
120,98,"array([3.24448477, 5.39060503])"
121,62,"array([3.35734298, 5.2976966 ])"
122,39,"array([3.55874304, 5.36931649])"
123,158,"array([3.48429179, 5.26736952])"
124,176,"array([3.68252438, 5.3914072 ])"
125,40,"array([2.98941793, 5.71185034])"
126,44,"array([3.06468828, 5.76685043])"
127,184,"array([3.06311163, 5.69794197])"
128,73,"array([2.30012998, 6.31698814])"
129,43,"array([1.82683643, 5.0002481 ])"
130,47,"array([1.76183362, 5.03797026])"
131,61,"array([1.72392069, 4.97405913])"
132,70,"array([1.79193304, 4.92242967])"
133,146,"array([2.89050553, 4.77509558])"
134,77,"array([2.733234  , 4.49011154])"
135,127,"array([2.89350662, 4.7179654 ])"
136,49,"array([2.19136798, 5.86907838])"
137,116,"array([2.12468738, 5.79888611])"
138,64,"array([2.11712272, 5.87173664])"
139,50,"array([3.19887971, 5.05726818])"
140,63,"array([3.45187544, 5.12574728])"
141,94,"array([3.23789477, 4.99840991])"
142,72,"array([3.28498978, 5.04921725])"
143,52,"array([3.35056444, 4.73433613])"
144,165,"array([3.36722229, 4.79412139])"
145,152,"array([3.31023308, 4.89908038])"
146,137,"array([2.50666203, 4.95170435])"
147,78,"array([2.47307261, 4.89054482])"
148,54,"array([2.80555221, 5.31108794])"
149,163,"array([2.74362015, 5.31375606])"
150,118,"array([2.82434601, 5.38192596])"
151,55,"array([1.8824875 , 5.24997381])"
152,66,"array([1.94691125, 5.30882517])"
153,57,"array([3.93153069, 5.69672894])"
154,69,"array([3.8929049 , 5.76976944])"
155,59,"array([3.0278898 , 6.44075858])"
156,97,"array([3.05847836, 6.27898763])"
157,157,"array([3.02438478, 6.36075107])"
158,166,"array([3.1009404 , 6.38029954])"
159,155,"array([2.98142977, 6.60749914])"
160,124,"array([3.55289872, 5.17927414])"
161,112,"array([3.4900403 , 5.20611206])"
162,71,"array([2.19799428, 4.47509983])"
163,144,"array([2.13727886, 4.44516252])"
164,100,"array([2.22338763, 6.22399165])"
165,150,"array([2.29268702, 6.23285141])"
166,175,"array([3.31467072, 6.15591742])"
167,75,"array([2.41354247, 4.2502798 ])"
168,126,"array([2.35454603, 4.31437437])"
169,108,"array([2.7411476 , 4.38498364])"
170,84,"array([2.67375067, 4.37251759])"
171,132,"array([2.67679378, 4.44606911])"
172,80,"array([2.96293071, 4.18240094])"
173,86,"array([2.87679061, 4.15831762])"
174,111,"array([2.67668732, 6.4211833 ])"
175,83,"array([1.90555416, 6.10007838])"
176,140,"array([1.8357016 , 6.15439755])"
177,103,"array([2.87319334, 5.07785347])"
178,90,"array([3.40961819, 6.25846214])"
179,133,"array([3.21019405, 5.65302092])"
180,162,"array([3.00013081, 6.70511418])"
181,167,"array([2.91687811, 6.66982452])"
182,119,"array([1.93370389, 5.64242304])"
183,168,"array([2.03853907, 5.60552738])"
184,181,"array([1.9407485 , 5.56000619])"
