# index, _pos
0,"array([4.31931502, 8.6828705 ])"
1,"array([4.51419431, 8.83107719])"
2,"array([4.26433679, 8.67411036])"
3,"array([4.20552943, 8.52204831])"
4,"array([4.28013161, 8.49200511])"
5,"array([4.57197046, 8.54854274])"
6,"array([4.2777437, 8.8011215])"
7,"array([4.09493882, 8.73513966])"
8,"array([4.06281004, 8.64133673])"
9,"array([4.38816271, 8.81382699])"
10,"array([4.26080609, 8.87087242])"
11,"array([4.34103089, 8.87271482])"
12,"array([4.20775937, 8.77226459])"
13,"array([4.30265809, 8.9346875 ])"
14,"array([4.20310462, 8.92253076])"
15,"array([4.36042949, 8.7566357 ])"
16,"array([4.35742394, 8.44264897])"
17,"array([4.43085499, 8.41060823])"
18,"array([4.00550206, 8.83500374])"
19,"array([4.36061666, 8.52460816])"
20,"array([4.26911993, 8.57861311])"
21,"array([4.26093065, 8.37624282])"
22,"array([4.22144483, 8.43994425])"
23,"array([4.43764992, 8.56282128])"
24,"array([4.35607346, 8.60058822])"
25,"array([4.46157049, 8.65882642])"
26,"array([4.46308445, 8.91247767])"
27,"array([4.43129337, 8.72049805])"
28,"array([4.18367682, 8.84162073])"
29,"array([4.52465653, 8.73135095])"
30,"array([4.59970449, 8.30113838])"
31,"array([4.75385903, 8.62982089])"
32,"array([4.65036551, 8.72000175])"
33,"array([3.96109744, 8.72769108])"
34,"array([4.21031737, 9.10770191])"
35,"array([3.9786319 , 8.96571384])"
36,"array([4.34489397, 9.08336455])"
37,"array([4.54699981, 9.07069092])"
38,"array([4.04236791, 9.12135139])"
39,"array([4.50297382, 8.30783262])"
40,"array([4.4188077 , 8.26152842])"
41,"array([4.05488048, 8.38308235])"
42,"array([4.6470682 , 8.43098905])"
43,"array([4.49963682, 8.18383253])"
44,"array([4.62124843, 8.14623381])"
45,"array([4.58924831, 7.90981719])"
46,"array([4.52818623, 7.73792697])"
47,"array([4.76661066, 7.76634724])"
48,"array([4.38398319, 8.0804597 ])"
49,"array([4.51590867, 7.83920633])"
50,"array([4.48511708, 7.92742939])"
51,"array([4.42206727, 7.80135383])"
52,"array([4.40128549, 7.88599629])"
53,"array([4.73761279, 8.32676185])"
54,"array([3.86223974, 9.02856396])"
55,"array([3.78233905, 8.97252915])"
56,"array([3.82146084, 8.88709163])"
57,"array([4.12556538, 8.26085982])"
58,"array([4.22219423, 8.18431059])"
59,"array([3.99827086, 8.22401258])"
60,"array([4.18917097, 8.01782412])"
61,"array([4.22312605, 7.8681098 ])"
62,"array([4.73711645, 8.92197842])"
63,"array([4.80017333, 8.82042193])"
