source,target,weight
0,1,2
0,2,4
0,3,1
0,4,2
0,5,1
0,6,1
0,7,1
0,8,1
0,9,2
0,10,1
0,11,2
0,12,1
0,13,1
0,14,1
0,15,1
1,2,47
1,3,7
1,4,29
1,5,2
1,6,1
1,7,5
1,9,4
1,10,3
1,11,6
1,13,11
1,14,7
1,16,2
1,17,12
1,18,17
1,19,5
1,20,1
1,21,8
1,23,3
1,26,1
1,27,3
1,28,1
1,29,1
1,30,2
1,31,2
1,32,8
2,3,17
2,4,38
2,5,5
2,6,2
2,7,3
2,8,2
2,9,8
2,10,3
2,11,5
2,13,18
2,14,10
2,15,2
2,16,2
2,17,10
2,18,28
2,19,17
2,20,2
2,21,16
2,22,1
2,23,5
2,25,3
2,26,6
2,27,5
2,31,3
2,32,17
2,33,1
2,34,1
2,35,1
2,36,1
3,4,14
3,5,2
3,9,2
3,12,1
3,13,2
3,14,1
3,16,1
3,17,1
3,18,15
3,19,4
3,28,1
3,31,1
3,32,6
3,34,1
4,5,5
4,7,2
4,9,13
4,10,1
4,11,1
4,13,7
4,14,4
4,17,6
4,18,20
4,19,8
4,21,1
4,22,1
4,23,1
4,24,1
4,26,2
4,27,2
4,28,2
4,29,2
4,31,1
4,32,16
4,34,1
5,9,1
5,14,1
5,18,7
5,19,1
5,20,2
5,30,1
6,7,2
6,8,2
6,9,2
6,10,4
6,11,1
6,12,2
6,15,1
6,18,1
6,23,1
6,27,1
6,28,6
6,29,2
6,30,3
6,31,1
6,33,1
6,34,2
6,35,3
6,36,1
6,37,2
6,38,2
6,40,2
6,41,2
6,42,1
7,8,2
7,9,3
7,10,4
7,11,1
7,13,2
7,15,1
7,17,1
7,18,2
7,21,1
7,24,3
7,27,2
7,31,4
7,34,1
7,35,1
7,37,1
7,42,2
8,9,1
8,10,4
8,11,1
8,12,3
8,15,3
8,27,2
8,28,1
8,29,1
8,30,1
8,31,1
8,33,1
8,34,3
8,35,2
8,37,4
8,38,4
8,39,1
8,40,1
8,41,1
8,42,7
9,10,1
9,11,1
9,13,2
9,14,1
9,15,1
9,18,5
9,19,2
9,21,1
9,22,1
9,27,2
9,28,3
9,29,1
9,31,1
9,34,1
9,35,1
9,37,1
10,11,2
10,12,2
10,13,1
10,15,3
10,20,1
10,24,1
10,28,1
10,29,2
10,31,8
10,33,2
10,34,3
10,35,3
10,36,2
10,37,6
10,39,1
10,42,6
11,12,1
11,13,2
11,15,1
11,17,1
11,18,4
11,21,1
11,32,1
11,37,1
12,15,2
12,17,1
12,27,2
12,34,2
12,35,2
12,37,3
12,42,2
13,14,2
13,17,2
13,18,5
13,19,2
13,21,4
13,23,1
13,25,1
13,26,1
13,27,2
13,32,1
13,36,1
14,18,2
14,19,2
14,21,1
14,32,7
15,18,1
15,27,1
15,34,2
15,35,2
15,37,2
15,42,2
16,17,1
16,18,3
16,19,2
16,20,1
17,18,18
17,19,1
17,21,1
17,22,3
17,23,1
17,24,1
18,19,9
18,20,4
18,21,7
18,22,3
18,23,1
18,24,1
18,25,1
18,29,1
18,30,2
18,31,1
18,32,4
18,34,2
18,35,2
18,37,1
19,20,1
19,21,7
19,25,2
19,27,3
19,28,2
19,32,2
19,41,1
20,21,2
20,31,1
21,22,1
21,25,2
21,26,1
21,27,3
21,32,1
23,24,1
24,31,1
25,26,1
25,27,1
26,32,1
27,28,1
28,29,5
28,30,4
28,31,5
28,34,5
28,35,5
28,36,1
28,37,3
28,38,2
28,40,5
28,41,4
29,30,6
29,31,9
29,40,2
29,41,1
30,31,6
30,32,1
30,33,1
30,34,4
30,35,2
30,37,1
30,38,1
30,40,2
30,41,1
30,42,1
31,34,2
31,35,2
31,40,2
31,41,1
33,34,9
33,35,8
33,36,1
33,37,6
33,42,6
34,35,22
34,36,1
34,37,15
34,42,12
35,36,1
35,37,13
35,38,1
35,40,1
35,41,1
35,42,10
37,38,4
37,39,4
37,40,3
37,41,1
37,42,17
38,39,3
38,40,4
38,41,3
38,42,1
39,40,2
39,41,1
39,42,1
40,41,4
