# index, _pos
0,"array([-8.76908281, -6.98332415])"
1,"array([-8.64028902, -7.27574291])"
2,"array([-8.65840712, -7.1811387 ])"
3,"array([-8.75660446, -7.27287618])"
4,"array([-8.65778095, -7.3588421 ])"
5,"array([-8.78859733, -7.37977922])"
6,"array([-8.43245394, -6.98292175])"
7,"array([-8.54031493, -7.10260252])"
8,"array([-8.32114119, -7.00994197])"
9,"array([-8.51602771, -7.21079953])"
10,"array([-8.4281787 , -7.08808128])"
11,"array([-8.64982404, -7.04847123])"
12,"array([-8.63022051, -6.88648029])"
13,"array([-8.83728813, -7.19824054])"
14,"array([-8.91986096, -7.36755028])"
15,"array([-8.51348996, -6.83446219])"
16,"array([-8.72435512, -7.66131235])"
17,"array([-8.54599519, -7.42498329])"
18,"array([-8.53635439, -7.30395497])"
19,"array([-8.65412296, -7.48430732])"
20,"array([-8.55965655, -7.59019841])"
21,"array([-8.78473104, -7.4869002 ])"
22,"array([-8.42535615, -7.63480404])"
23,"array([-8.883619  , -7.08176277])"
24,"array([-8.37508068, -7.45851366])"
25,"array([-8.9671941 , -7.52251086])"
26,"array([-9.08910796, -7.35388539])"
27,"array([-8.74665792, -7.10741742])"
28,"array([-8.36744243, -7.1788287 ])"
29,"array([-8.2214466 , -7.32520174])"
30,"array([-8.28139429, -7.12373253])"
31,"array([-8.3540254 , -7.29705384])"
32,"array([-8.93595641, -7.23813553])"
33,"array([-8.41033837, -6.7159888 ])"
34,"array([-8.53455051, -6.960753  ])"
35,"array([-8.35081241, -6.90110685])"
36,"array([-8.66584173, -6.75655696])"
37,"array([-8.23158341, -6.94925533])"
38,"array([-8.0822402 , -6.86656071])"
39,"array([-7.94564598, -6.92418671])"
40,"array([-8.04547583, -7.07246977])"
41,"array([-8.12066064, -7.19514645])"
42,"array([-8.25723072, -6.7667508 ])"
