dynamics,cparam,direction,network,rng.far,rng.near,deltaT,D
genereg,D,down,adjnoun,1,0,0.01,
genereg,D,down,barabasialbert,1,0.2,0.01,
genereg,D,down,canton,1,0,0.01,
genereg,D,down,catlins,1,0.2,0.01,
genereg,D,down,chesapeake,1,0,0.01,
genereg,D,down,dolphin,1,0.2,0.01,
genereg,D,down,drug,1,0.2,0.01,
genereg,D,down,ecoli,1.4,0.6,0.01,
genereg,D,down,email_company,1,0,0.01,
genereg,D,down,erdosrenyi,1,0.2,0.01,
genereg,D,down,flamingo,1.2,0.4,0.01,
genereg,D,down,gap_junction_herm,1.5,1,0.01,
genereg,D,down,jazz,1,0,0.01,
genereg,D,down,lattice,1,0.4,0.01,
genereg,D,down,metabolic,1,0,0.01,
genereg,D,down,montreal,1,0.2,0.01,
genereg,D,down,netsci,1,0.2,0.01,
genereg,D,down,physician_trust,1,0,0.01,
genereg,D,down,protein,1.2,0.4,0.01,
genereg,D,down,proximity,1,0,0.01,
genereg,D,down,smallworld,1,0,0.01,
genereg,D,down,students,1.4,0.4,0.01,
genereg,D,down,train_terrorists,1,0,0.01,
genereg,D,down,tree,1.5,0.5,0.01,
genereg,D,down,windsurfers,1,0,0.01,
genereg,u,down,adjnoun,0,-1,0.01,
genereg,u,down,barabasialbert,0,-1,0.01,
genereg,u,down,canton,0,-1.5,0.01,
genereg,u,down,catlins,0,-0.5,0.01,
genereg,u,down,chesapeake,0,-2,0.01,
genereg,u,down,dolphin,0,-1,0.01,
genereg,u,down,drug,0,-0.5,0.01,
genereg,u,down,ecoli,0,-0.25,0.01,
genereg,u,down,email_company,0,-0.5,0.01,
genereg,u,down,erdosrenyi,0,-1,0.01,
genereg,u,down,flamingo,0,-0.25,0.01,
genereg,u,down,gap_junction_herm,0,-0.5,0.01,1.5
genereg,u,down,jazz,0,-1,0.01,
genereg,u,down,lattice,0,-2,0.01,
genereg,u,down,metabolic,0,-0.5,0.01,
genereg,u,down,montreal,0,-1,0.01,
genereg,u,down,netsci,0,-0.5,0.01,
genereg,u,down,physician_trust,0,-2,0.01,
genereg,u,down,protein,0,-0.25,0.01,
genereg,u,down,proximity,0,-1,0.01,
genereg,u,down,smallworld,0,-5,0.01,
